from	to
000470763500020	A1983PY32000010
000468888500016	A1983PY32000010
000470097100002	A1983PY32000010
000469513900001	A1983PY32000010
000468997700008	A1983PY32000010
000469022400024	A1983PY32000010
000468385400003	A1983PY32000010
000467915200017	A1983PY32000010
000468355700001	A1983PY32000010
000468355700004	A1983PY32000010
000468353600001	A1983PY32000010
000562117100204	A1983PY32000010
000572394300008	A1983PY32000010
000467183500001	A1983PY32000010
000467409600006	A1983PY32000010
000467409600007	A1983PY32000010
000467276800006	A1983PY32000010
000465035700009	A1983PY32000010
000463310300006	A1983PY32000010
000469293100001	A1983PY32000010
000466513700013	A1983PY32000010
000467847900001	A1983PY32000010
000467696300001	A1983PY32000010
000467631700001	A1983PY32000010
000470518300001	A1983PY32000010
000466886300020	A1983PY32000010
000467939800001	A1983PY32000010
000464587400009	A1983PY32000010
000469713100001	A1983PY32000010
000482672900008	A1983PY32000010
000474323600006	A1983PY32000010
000471249200004	A1983PY32000010
000469393300006	A1983PY32000010
000468503900019	A1983PY32000010
000466250900007	A1983PY32000010
000468346500010	A1983PY32000010
000465367000002	A1983PY32000010
000466619600005	A1983PY32000010
000465050600019	A1983PY32000010
000464713800017	A1983PY32000010
000464520300004	A1983PY32000010
000464339700008	A1983PY32000010
000464479800025	A1983PY32000010
000463019100009	A1983PY32000010
000463918700001	A1983PY32000010
000460925300005	A1983PY32000010
000460073600017	A1983PY32000010
000455740800022	A1983PY32000010
000466131200041	A1983PY32000010
000466409000001	A1983PY32000010
000465488000010	A1983PY32000010
000470881700004	A1983PY32000010
000464353100001	A1983PY32000010
000587575000001	A1983PY32000010
000465882700001	A1983PY32000010
000463706700001	A1983PY32000010
000480388100001	A1983PY32000010
000480388100002	A1983PY32000010
000466270600001	A1983PY32000010
000465237400002	A1983PY32000010
000463712200005	A1983PY32000010
000460100500005	A1983PY32000010
000482121300011	A1983PY32000010
000467961500029	A1983PY32000010
000466739800019	A1983PY32000010
000466304400001	A1983PY32000010
000463669400004	A1983PY32000010
000463752000002	A1983PY32000010
000463006800014	A1983PY32000010
000462585200004	A1983PY32000010
000462695400006	A1983PY32000010
000461901900011	A1983PY32000010
000461890000001	A1983PY32000010
000461055500007	A1983PY32000010
000460551700004	A1983PY32000010
000460297600012	A1983PY32000010
